MSSubClass,MSZoning,log(LotArea),Neighborhood,OverallQual,OverallCond,log(TotalBsmtSF),log(GrLivArea),SaleType,SaleCondition,log(SalePrice)
2-STORY 1946 & NEWER,RL,4.127687788,NridgHt,8,5,3.048053173,3.389520466,WD,Normal,5.489958479
1-STORY 1946 & NEWER ALL STYLES,RL,4.035789833,CollgCr,5,5,3.040206628,3.040206628,WD,Normal,5.161368002
1-STORY 1946 & NEWER ALL STYLES,RL,3.931050847,NAmes,5,6,3.112939976,3.112939976,WD,Normal,5.184691431
1-STORY 1946 & NEWER ALL STYLES,RL,3.898834838,NAmes,5,7,3.024074987,3.024074987,WD,Abnorml,5.037426498
DUPLEX - ALL STYLES AND AGES,RL,3.781036939,Edwards,4,5,#NUM!,3.061452479,WD,AdjLand,4.913813852
1-STORY 1946 & NEWER ALL STYLES,RL,3.937417581,NAmes,6,5,3.036628895,3.121887985,WD,Abnorml,5.204119983
1-STORY 1946 & NEWER ALL STYLES,RL,4.228015175,Timber,5,6,3.130333768,3.123198075,WD,Normal,5.230448921
SPLIT FOYER,RL,3.962842681,SawyerW,5,7,2.924279286,2.946452265,WD,Normal,5.158362492
1-STORY 1946 & NEWER ALL STYLES,RL,3.963787827,CollgCr,5,6,2.972202838,2.972202838,WD,Normal,5.114777732
1-STORY 1946 & NEWER ALL STYLES,RL,3.900093902,NAmes,5,6,3.06069784,3.06069784,WD,Normal,5.149219113
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,3.884115362,NridgHt,9,5,3.243534102,3.243534102,WD,Normal,5.50501424
1-1/2 STORY FINISHED ALL AGES,RL,4.107955773,Mitchel,7,5,3.156549151,3.332236415,WD,Abnorml,5.379642668
1-STORY 1946 & NEWER ALL STYLES,FV,4.045166448,Somerst,8,5,3.219060332,3.219060332,WD,Normal,5.397418542
2 FAMILY CONVERSION - ALL STYLES AND AGES,RM,3.648945182,OldTown,4,5,2.866877814,3.161966616,New,Partial,5.053078443
1-STORY 1946 & NEWER ALL STYLES,RL,3.888853167,Sawyer,5,7,2.980003372,2.980003372,WD,Normal,5.103803721
2-STORY 1946 & NEWER,RL,4.142045148,Gilbert,6,6,2.899820502,3.167317335,WD,Normal,5.247973266
1-1/2 STORY FINISHED ALL AGES,RM,3.79518459,BrkSide,6,6,2.911690159,3.070407322,WD,Normal,5.058805487
DUPLEX - ALL STYLES AND AGES,RM,3.927985947,IDOTRR,5,5,2.911690159,2.911690159,WD,Normal,5.041392685
1-STORY 1946 & NEWER ALL STYLES,RL,4.701317524,Veenker,9,5,3.265289626,3.265289626,WD,Normal,5.58546073
SPLIT OR MULTI-LEVEL,RL,3.853333105,NAmes,5,5,2.584331224,3.133538908,WD,Normal,5.113943352
1-STORY 1946 & NEWER ALL STYLES,RL,4.007534418,NAmes,6,5,3.153814864,3.153814864,WD,Normal,5.256477206
2-STORY PUD - 1946 & NEWER,FV,3.422425676,Somerst,8,5,2.986771734,3.240299582,WD,Abnorml,5.236789099
2-STORY 1946 & NEWER,RL,4.066139493,CollgCr,7,5,2.934498451,3.235528447,WD,Normal,5.293362555
2-STORY 1946 & NEWER,RL,4.136149586,StoneBr,10,5,3.149219113,3.469085299,New,Partial,5.642246824
1-STORY 1946 & NEWER ALL STYLES,RL,3.857332496,CollgCr,5,7,2.892094603,2.892094603,WD,Normal,5.096562438
1-STORY 1946 & NEWER ALL STYLES,RL,4.116342039,SawyerW,6,5,3.063708559,3.063708559,New,Partial,5.198657087
2-1/2 STORY ALL AGES,RM,3.857332496,IDOTRR,5,7,2.72427587,3.045714059,WD,Normal,5.004321374
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,3.80902072,NridgHt,8,5,3.136720567,3.136720567,WD,Normal,5.306425028
2-STORY 1945 & OLDER,RM,4.012837225,OldTown,7,6,2.760422483,3.23299611,WD,Normal,5.146128036
2-STORY 1946 & NEWER,RL,3.971971276,CollgCr,7,5,3.024074987,3.308350949,WD,Normal,5.341434525
2-STORY 1946 & NEWER,RL,3.981863891,NridgHt,8,5,3.05804623,3.393224116,WD,Normal,5.501059262
1-STORY 1946 & NEWER ALL STYLES,RL,4.298853076,NAmes,7,5,3.289365952,3.343802333,WD,Normal,5.255272505
1-STORY 1946 & NEWER ALL STYLES,RL,4.02796086,CollgCr,7,5,3.162265614,3.169968174,WD,Normal,5.354108439
1-STORY 1945 & OLDER,RM,3.66351247,OldTown,4,6,2.873320602,2.873320602,WD,Normal,4.903089987
1-1/2 STORY FINISHED ALL AGES,RL,4.192929679,ClearCr,7,4,3.115277591,3.359266165,WD,Normal,5.352182518
1-STORY 1946 & NEWER ALL STYLES,RL,4.135164467,NAmes,7,6,3.346939463,3.346939463,WD,Normal,5.387389826
1-STORY 1946 & NEWER ALL STYLES,RL,3.880756445,Mitchel,4,6,2.926856709,2.926856709,WD,Normal,5.112269768
2-STORY 1946 & NEWER,RL,4.006080783,Gilbert,7,5,2.920123326,3.235023159,WD,Normal,5.267171728
1-STORY 1946 & NEWER ALL STYLES,RL,4.008600172,NAmes,5,7,3.035829825,3.035829825,WD,Normal,5.161068385
1-1/2 STORY FINISHED ALL AGES,RM,3.762678564,OldTown,3,6,2.924279286,3.205475037,WD,Normal,5.031004281
PUD - MULTILEVEL - INCL SPLIT LEV/FOYER,RM,3.203032887,MeadowV,4,5,2.664641976,2.994756945,WD,Normal,4.959041392
1-STORY 1946 & NEWER ALL STYLES,RL,3.928139707,NAmes,4,7,2.978636948,2.978636948,WD,Normal,5.132739838
1-1/2 STORY FINISHED ALL AGES,RM,3.936262342,BrkSide,5,5,2.827369273,3.108903128,WD,Normal,5.103803721
DUPLEX - ALL STYLES AND AGES,RL,4.032538179,Sawyer,4,5,3.247482261,3.247482261,WD,Normal,5.135132651
1-1/2 STORY FINISHED ALL AGES,RM,4.018700499,OldTown,5,6,2.643452676,3.089905111,WD,Normal,5.041392685
2-STORY 1946 & NEWER,RL,4.113943352,NAmes,6,6,2.95230801,3.330819466,WD,Normal,5.286680969
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RM,3.653212514,Mitchel,6,5,3.0923697,3.126131407,WD,Normal,5.18610838
1-STORY 1946 & NEWER ALL STYLES,RL,4.008855564,Somerst,8,5,3.193958978,3.193958978,WD,Normal,5.389166084
1-STORY 1946 & NEWER ALL STYLES,RL,3.948999454,NAmes,5,5,3.027349608,3.027349608,COD,Normal,5.102090526
SPLIT OR MULTI-LEVEL,RL,3.930949031,Gilbert,7,5,2.584331224,3.168497484,WD,Normal,5.226599905
2-STORY 1946 & NEWER,RL,4.205718498,NoRidge,8,5,3.109915863,3.38327665,WD,Normal,5.414973348
2-STORY 1946 & NEWER,RL,4.075948225,Gilbert,6,5,2.835056102,3.193124598,WD,Normal,5.240549248
2-STORY PUD - 1946 & NEWER,FV,3.59670703,Somerst,6,5,2.786751422,3.087781418,New,Partial,5.216165902
1-1/2 STORY FINISHED ALL AGES,C (all),3.92788341,IDOTRR,3,2,3.005609445,3.183554534,ConLD,Abnorml,4.929418926
1-STORY 1946 & NEWER ALL STYLES,RL,3.906873535,CollgCr,4,5,2.995635195,2.995635195,WD,Normal,5.092018471
1-STORY 1946 & NEWER ALL STYLES,RL,3.857332496,NAmes,4,5,#NUM!,3.017033339,WD,Normal,5.040997692
1-STORY 1946 & NEWER ALL STYLES,RL,3.929418926,NAmes,5,3,3.091666958,3.091666958,WD,Abnorml,4.993876915
1-STORY 1945 & OLDER,RL,4.125806458,Crawfor,5,7,2.942504106,2.984077034,WD,Normal,5.213517757
2 FAMILY CONVERSION - ALL STYLES AND AGES,C (all),3.857332496,OldTown,6,6,3.084218687,3.360025089,WD,Normal,5.126780577
2-STORY 1946 & NEWER,RL,3.970207359,CollgCr,6,5,2.915927212,3.251881455,WD,Normal,5.31122391
2-STORY 1946 & NEWER,RL,3.989672248,Gilbert,6,8,2.832508913,3.167317335,WD,Normal,5.267171728
1-STORY 1946 & NEWER ALL STYLES,RL,4.011316643,CollgCr,7,5,3.200850498,3.200850498,WD,Normal,5.330413773
1-STORY 1946 & NEWER ALL STYLES,RL,4.038262407,Edwards,4,5,2.982271233,2.982271233,WD,Normal,4.976579219
1-STORY 1945 & OLDER,RL,4.026328939,Edwards,5,5,2.660865478,2.921686475,COD,Abnorml,4.919078092
1-STORY 1946 & NEWER ALL STYLES,RL,3.969415912,NAmes,4,5,2.977723605,3.088136089,WD,Normal,5.110421346
1-STORY 1946 & NEWER ALL STYLES,RL,4.025428761,NWAmes,6,7,3.206825876,3.206825876,WD,Normal,5.311753861
2-STORY 1946 & NEWER,RL,3.964070971,SawyerW,6,5,2.869818208,3.238547888,WD,Normal,5.250420002
DUPLEX - ALL STYLES AND AGES,RL,3.846213364,SawyerW,5,5,#NUM!,3.18610838,WD,Alloca,5.075415558
1-STORY 1946 & NEWER ALL STYLES,RL,4.017116849,CollgCr,7,5,3.08849047,3.08849047,WD,Normal,5.298634783
1-1/2 STORY FINISHED ALL AGES,RM,3.889749775,IDOTRR,7,4,3.017033339,3.259593879,WD,Normal,5.229169703
2-STORY 1946 & NEWER,FV,3.971971276,Somerst,8,5,3.022428371,3.299289334,WD,Normal,5.397940009
1-STORY 1945 & OLDER,RM,4.033423755,OldTown,4,7,2.80685803,3.019946682,WD,Normal,5
1-STORY 1946 & NEWER ALL STYLES,RM,3.77815125,OldTown,5,5,2.897077003,2.897077003,WD,Partial,5.06069784
1-1/2 STORY FINISHED ALL AGES,RM,3.929418926,IDOTRR,5,7,2.899273187,3.180985581,WD,Normal,5.06069784
1-STORY 1946 & NEWER ALL STYLES,RL,4.070074826,NWAmes,6,6,3.265760917,3.265760917,COD,Normal,5.278753601
1-1/2 STORY FINISHED ALL AGES,RL,3.978864984,Edwards,6,4,2.997386384,3.268343914,WD,Normal,5.136403448
SPLIT OR MULTI-LEVEL,RL,3.889301703,Gilbert,7,5,2.584331224,3.155336037,WD,Normal,5.255272505
2-STORY 1946 & NEWER,RL,3.998477303,CollgCr,7,5,3.101747074,3.430719888,New,Partial,5.584297294
1-STORY 1946 & NEWER ALL STYLES,RL,4.322219295,Crawfor,6,5,3.257438567,3.353916231,COD,Abnorml,5.336459734
2-STORY 1945 & OLDER,RL,3.860876796,Crawfor,6,8,3.011993115,3.365487985,WD,Normal,5.414137362
2-STORY PUD - 1946 & NEWER,FV,3.509202522,Somerst,6,5,2.862727528,3.163757524,WD,Normal,5.245512668
1-STORY 1946 & NEWER ALL STYLES,RL,4.065056603,Sawyer,5,5,3.038222638,3.038222638,WD,Normal,5.1430148
1-STORY 1946 & NEWER ALL STYLES,RL,3.931254406,Edwards,5,5,3.051152522,3.051152522,New,Partial,5.190331698
2-STORY 1946 & NEWER,RL,4.092580301,SawyerW,7,5,3.223495941,3.508125536,WD,Normal,5.505149978
2-STORY 1946 & NEWER,RL,3.927421695,CollgCr,6,5,2.862131379,3.163161375,New,Partial,5.214817366
SPLIT OR MULTI-LEVEL,RL,4.331488033,ClearCr,6,5,2.972202838,2.994756945,WD,Normal,5.255272505
1-1/2 STORY FINISHED ALL AGES,RM,3.782472624,IDOTRR,4,5,2.864511081,3.050379756,WD,Normal,5
1-STORY 1946 & NEWER ALL STYLES,RL,3.976074732,NAmes,6,7,3.033423755,3.033423755,WD,Normal,5.133538908
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,3.897187077,SawyerW,6,5,3.078819183,3.078819183,WD,Normal,5.18723862
1-STORY 1946 & NEWER ALL STYLES,RL,4.231546044,NWAmes,6,5,3.134177108,3.200303183,WD,Normal,5.257678575
2 FAMILY CONVERSION - ALL STYLES AND AGES,RM,3.831229694,IDOTRR,6,8,2.716003344,2.877371346,WD,Normal,4.926856709
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,3.692670699,NPkVill,6,5,3.032618761,2.981365509,WD,Normal,5.10720997
1-1/2 STORY - UNFINISHED ALL AGES,RM,3.642266619,OldTown,5,7,2.827369273,2.924279286,WD,Normal,4.939519253
2-STORY 1946 & NEWER,RL,3.880241776,NAmes,6,5,2.819543936,3.129689892,WD,Normal,5.190331698
1-STORY 1946 & NEWER ALL STYLES,RL,3.952937668,NAmes,5,7,3.003460532,3.022428371,WD,Abnorml,5.176091259
2-STORY 1946 & NEWER,RL,4.152288344,NAmes,7,6,2.965671971,3.333850145,WD,Normal,5.354108439
2-STORY 1946 & NEWER,RL,4.087213341,Gilbert,6,5,2.996511672,3.312600439,WD,Normal,5.387389826
1-STORY 1946 & NEWER ALL STYLES,RL,3.868526887,NAmes,5,6,3.026533265,3.122870923,WD,Normal,5.178257321
1-STORY 1946 & NEWER ALL STYLES,RL,3.835880732,Timber,8,5,3.102776615,3.112605002,WD,Normal,5.342422681
1-STORY 1946 & NEWER ALL STYLES,RL,4.014310481,Sawyer,5,6,3.164650216,3.23578087,WD,Normal,5.255272505
1-STORY 1946 & NEWER ALL STYLES,RL,4.017033339,NWAmes,7,6,3.115277591,3.225825991,WD,Normal,5.240549248
1-STORY 1946 & NEWER ALL STYLES,RL,4.015150103,NAmes,5,5,3.084218687,3.084218687,WD,Normal,5.155336037
DUPLEX - ALL STYLES AND AGES,RL,4.044147621,Mitchel,7,5,3.280350693,3.292034436,WD,Family,5.23299611
2-STORY 1946 & NEWER,RL,3.957415715,CollgCr,8,5,3.001733713,3.267640982,WD,Normal,5.361727836
2-STORY 1946 & NEWER,RL,4.188253327,CollgCr,6,5,2.967547976,3.246498581,WD,Normal,5.364550995
1-STORY 1946 & NEWER ALL STYLES,RL,4.021189299,NAmes,4,5,2.936513742,2.936513742,ConLI,Normal,5.06069784
1-STORY 1946 & NEWER ALL STYLES,RL,4.066139493,CollgCr,7,5,3.239049093,3.239049093,WD,Normal,5.414973348
1-1/2 STORY FINISHED ALL AGES,RL,3.930439595,NAmes,5,4,2.959041392,3.141449773,WD,Normal,5.220108088
1-STORY 1946 & NEWER ALL STYLES,RL,4.014310481,CollgCr,7,5,3.173186268,3.176380692,WD,Normal,5.309630167
DUPLEX - ALL STYLES AND AGES,RM,3.959041392,Sawyer,5,5,3.237543738,3.237543738,ConLI,Abnorml,5.096910013
2-STORY PUD - 1946 & NEWER,RM,3.401745082,Edwards,6,5,2.986771734,3.232742063,WD,Normal,5.113943352
1-STORY 1945 & OLDER,RM,3.786751422,BrkSide,5,7,2.854306042,2.942008053,WD,Normal,5.021189299
2-STORY 1946 & NEWER,RL,3.977952121,Gilbert,7,5,2.946452265,3.308564414,WD,Normal,5.347330015
1-STORY 1946 & NEWER ALL STYLES,RL,3.875061263,SawyerW,7,5,3.033423755,3.033423755,WD,Normal,5.149219113
1-1/2 STORY FINISHED ALL AGES,RM,3.79518459,BrkSide,5,4,2.95230801,3.128399269,WD,Normal,5.06069784
1-STORY 1946 & NEWER ALL STYLES,RL,4.015192042,CollgCr,5,6,2.986323777,2.986323777,WD,Normal,5.086359831
1-STORY 1946 & NEWER ALL STYLES,RL,4.142733511,NridgHt,8,5,3.23299611,3.23299611,New,Partial,5.571012005
2-STORY 1946 & NEWER,RL,4.170349739,NWAmes,6,5,2.916453949,3.299507299,WD,Normal,5.278753601
1-STORY 1946 & NEWER ALL STYLES,RL,4.130333768,ClearCr,6,7,3.204662512,3.097604329,WD,Normal,5.371067862
1-STORY 1945 & OLDER,RM,4.054613055,OldTown,6,5,3.079181246,3.079181246,WD,Family,5.096910013
1-1/2 STORY FINISHED ALL AGES,RL,3.982271233,Edwards,6,5,2.757396029,3.039810554,WD,Normal,4.897627091
1-STORY 1946 & NEWER ALL STYLES,RL,3.857332496,NAmes,5,7,#NUM!,3.017033339,WD,Normal,5.039414119
2-STORY 1946 & NEWER,RL,4.079289806,Timber,8,5,2.888740961,3.294025094,New,Partial,5.43055877
2-STORY 1946 & NEWER,FV,4.098712931,Somerst,7,5,2.996073654,3.289365952,WD,Normal,5.406369835
2-STORY 1946 & NEWER,RL,4.287308952,Gilbert,7,5,3.143639235,3.391288049,New,Partial,5.505149978
1-STORY 1946 & NEWER ALL STYLES,RL,4.046104787,Veenker,6,6,3.090610708,3.090610708,WD,Normal,5.210853365
2-STORY 1946 & NEWER,RL,4.136339997,NridgHt,9,5,3.196452542,3.426185825,WD,Normal,5.615423953
1-STORY 1946 & NEWER ALL STYLES,RL,4.085718595,NridgHt,7,5,3.187802639,3.187802639,New,Partial,5.342422681
1-1/2 STORY - UNFINISHED ALL AGES,RL,3.740362689,OldTown,4,6,2.945468585,2.945468585,WD,Normal,5.013679697
1-STORY W/FINISHED ATTIC ALL AGES,RM,3.73239376,OldTown,6,7,3.060320029,3.208441356,WD,Normal,5.181843588
2 FAMILY CONVERSION - ALL STYLES AND AGES,RL,4.004579294,Edwards,5,7,2.808885867,3.131939295,WD,Normal,5.105510185
1-STORY 1946 & NEWER ALL STYLES,RL,4.029708363,ClearCr,5,5,3.20871002,3.271144318,COD,Normal,5.278753601
2-STORY 1946 & NEWER,RL,4.023746163,NridgHt,8,5,3.199206479,3.334654767,New,Partial,5.512716407
2-STORY 1946 & NEWER,RL,3.916137983,Gilbert,7,5,2.924279286,3.235528447,WD,Normal,5.263636069
1-STORY 1946 & NEWER ALL STYLES,RL,4.221909547,Timber,8,6,3.22685757,3.232233521,WD,Normal,5.357934847
1-1/2 STORY FINISHED ALL AGES,RM,4.091948191,OldTown,5,6,2.857332496,3.140508043,WD,Normal,5.108903128
1-STORY 1946 & NEWER ALL STYLES,RL,4.502017215,NAmes,6,5,3.033423755,3.219060332,WD,Normal,5.33243846
2-STORY PUD - 1946 & NEWER,RL,3.724767246,StoneBr,7,7,3.026941628,3.24723655,WD,Normal,5.378397901
1-STORY 1946 & NEWER ALL STYLES,RL,4.008472419,NAmes,6,5,3.134177108,3.134177108,COD,Normal,5.212187604
1-STORY 1946 & NEWER ALL STYLES,RL,4.093981704,Timber,6,5,3.205745541,3.217747073,WD,Normal,5.264817823
1-STORY 1946 & NEWER ALL STYLES,RL,4.100887255,Edwards,6,7,3.079904468,3.33405144,WD,Normal,5.385606274
2-STORY 1946 & NEWER,RL,4.001257631,ClearCr,6,5,3.061075324,3.31386722,WD,Normal,5.324282455
1-1/2 STORY FINISHED ALL AGES,RL,4.135132651,Sawyer,5,5,3.02201574,3.283301229,WD,Normal,5.236789099
1-STORY 1946 & NEWER ALL STYLES,RL,4.241122937,StoneBr,9,5,3.345569756,3.349083169,New,Partial,5.700562678
1-STORY 1945 & OLDER,RM,3.930439595,OldTown,5,6,2.985875357,2.985875357,WD,Normal,5
2-STORY PUD - 1946 & NEWER,FV,3.325720858,Somerst,6,5,2.878521796,3.183269844,WD,Normal,5.247973266
2-STORY 1945 & OLDER,RL,3.880127322,Crawfor,7,6,2.899273187,3.255754787,WD,Normal,5.301247089
1-STORY 1946 & NEWER ALL STYLES,RL,3.957128198,Edwards,5,6,#NUM!,3.127104798,WD,Normal,5.079181246
1-1/2 STORY FINISHED ALL AGES,RM,4.05789422,OldTown,7,5,3.134177108,3.318480725,WD,Normal,5.301029996
1-1/2 STORY FINISHED ALL AGES,RL,3.871456174,BrkSide,5,8,2.702430536,3.097604329,WD,Normal,5.103803721
2-1/2 STORY ALL AGES,RM,4.36078269,OldTown,10,9,3.044147621,3.557266529,WD,Normal,5.67669361
SPLIT OR MULTI-LEVEL,RL,3.997692118,Mitchel,7,5,3.074816441,3.085290578,WD,Normal,5.238046103
1-1/2 STORY FINISHED ALL AGES,RL,4.01745073,OldTown,5,7,2.819543936,3.219060332,WD,Normal,5.130333768
DUPLEX - ALL STYLES AND AGES,RL,3.846213364,SawyerW,5,5,3.035829825,3.087781418,WD,Alloca,5.185646962
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RL,3.692229836,StoneBr,8,5,3.202215776,3.202215776,WD,Normal,5.456366033
2-STORY 1945 & OLDER,RL,4.024074987,Crawfor,8,8,2.930949031,3.435685138,WD,Normal,5.498310554
2-STORY 1946 & NEWER,RL,3.873436863,NAmes,7,9,2.860338007,3.169968174,WD,Normal,5.264817823
1-STORY 1946 & NEWER ALL STYLES,RL,3.95506207,CollgCr,7,5,3.155639634,3.155639634,WD,Normal,5.283301229
2-STORY PUD - 1946 & NEWER,RM,3.401745082,Edwards,7,5,2.986771734,3.232742063,WD,Normal,5.113943352
1-STORY 1946 & NEWER ALL STYLES,RL,3.856124444,CollgCr,5,7,2.936513742,2.936513742,WD,Normal,5.103803721
2-STORY PUD - 1946 & NEWER,RL,3.357934847,NPkVill,6,6,2.931966115,3.163161375,WD,Normal,5.171726454
1-STORY 1946 & NEWER ALL STYLES,RL,3.97386645,Somerst,7,5,3.237040791,3.237040791,New,Partial,5.493976385
2-1/2 STORY ALL AGES,RL,4.405158461,NAmes,8,4,3.133538908,3.493039588,WD,Abnorml,5.371067862
2-1/2 STORY ALL AGES,RM,3.741939078,OldTown,6,6,2.877946952,3.348110068,WD,Abnorml,5.017033339
1-STORY 1946 & NEWER ALL STYLES,RL,3.981863891,NridgHt,8,5,3.233757363,3.233757363,WD,Normal,5.43917474
1-STORY 1946 & NEWER ALL STYLES,RM,3.931762888,Edwards,4,5,3.049605613,3.049605613,WD,Normal,5.146128036
1-STORY 1946 & NEWER ALL STYLES,RL,4.005395032,Mitchel,6,6,3.07773118,3.106870544,WD,Normal,5.234264124
1-1/2 STORY FINISHED ALL AGES,RL,3.84509804,OldTown,6,6,2.790285164,3.117271296,COD,Normal,5.049218023
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,RM,3.647187298,CollgCr,6,5,2.928395852,2.928395852,WD,Normal,5.173186268
1-1/2 STORY FINISHED ALL AGES,RM,3.544068044,OldTown,5,7,2.857332496,3.108565024,WD,Normal,5.041392685
1-STORY 1946 & NEWER ALL STYLES,RL,4.073754998,Gilbert,7,5,3.153509989,3.15896526,WD,Normal,5.256477206
1-STORY 1946 & NEWER ALL STYLES,RL,4.135863814,Sawyer,5,5,3.056904851,3.229425848,WD,Normal,5.158060794
1-STORY 1946 & NEWER ALL STYLES,RL,4.09666674,NAmes,4,5,3.041392685,3.041392685,WD,Normal,5.149219113
2-STORY 1946 & NEWER,RL,4.157275396,SawyerW,7,5,3.063333359,3.314288661,WD,Normal,5.442479769
1-STORY 1946 & NEWER ALL STYLES,RL,3.916453949,NAmes,6,7,3.038222638,3.038222638,WD,Normal,5.161368002
1-STORY 1945 & OLDER,RL,3.748498127,Edwards,5,6,2.936513742,2.936513742,WD,Normal,4.991226076
1-STORY 1946 & NEWER ALL STYLES,RL,4.017867719,Edwards,6,5,3.08350262,3.08350262,WD,Normal,5.269512944
2-STORY 1946 & NEWER,FV,3.936513742,Somerst,7,5,2.954242509,3.267640982,New,Partial,5.402567431
1-STORY 1946 & NEWER ALL STYLES,RL,4.132515835,CollgCr,5,5,2.995635195,2.995635195,WD,Normal,5.193124598
2-STORY 1946 & NEWER,RL,4.037426498,CollgCr,6,7,2.838219222,3.143639235,WD,Normal,5.208844289
1-STORY 1946 & NEWER ALL STYLES,RL,4.000477461,NAmes,5,6,3.029383778,3.092018471,WD,Normal,5.128560807
